Membr id,trdr id,scrp code,scrp id,rate,qty,trd status,Cm code,Time,Date,Clnt id,Ordr id,Trns typ/Ordr typ,B/S,Trade ID,Clnt typ,ISIN,scrp group,Sett No,Ord Time,Ao/Po flag,Location id,Trd modi. time/time,Sessn Id or trdr Id,CP Code,CP code Confrn,Old Cust Prtcpnt,Old Cust code
6758,1026,524715,SUNPHARMA,165520,26,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,35600,OWN,INE044A01036,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1026,,N,,
6758,1026,524715,SUNPHARMA,165520,7,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,35800,OWN,INE044A01036,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1026,,N,,
6758,1037,524715,SUNPHARMA,165545,33,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,36000,OWN,INE044A01036,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1037,,N,,
6758,1024,524715,SUNPHARMA,165570,33,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,36200,OWN,INE044A01036,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1024,,N,,
6758,1033,524715,SUNPHARMA,165595,33,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,36400,OWN,INE044A01036,A,644/20252026,9:15:01,1,3.8205E+15,9:15:01,1033,,N,,
6758,1038,524715,SUNPHARMA,165620,33,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,36600,OWN,INE044A01036,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1038,,N,,
6758,1024,524715,SUNPHARMA,165645,33,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,36800,OWN,INE044A01036,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1024,,N,,
6758,1027,500325,RELIANCE,141495,12,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,38100,OWN,INE002A01018,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1027,,N,,
6758,1037,524715,SUNPHARMA,165820,1,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,38200,OWN,INE044A01036,A,644/20252026,9:15:01,1,3.8205E+15,9:15:01,1037,,N,,
6758,1024,590103,NIFTYBEES,27624,91,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,38400,OWN,INF204KB14I2,B,644/20252026,9:15:01,1,3.8205E+15,9:15:01,1024,,N,,
6758,1040,590103,NIFTYBEES,27634,3,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,40200,OWN,INF204KB14I2,B,644/20252026,9:15:01,1,3.8205E+15,9:15:01,1040,,N,,
6758,1027,500253,LICHSGFIN,61020,11,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,40400,OWN,INE115A01026,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1027,,N,,
6758,1040,590103,NIFTYBEES,27634,2,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,40400,OWN,INF204KB14I2,B,644/20252026,9:15:01,1,3.8205E+15,9:15:01,1040,,N,,
6758,1038,500253,LICHSGFIN,61045,11,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,40800,OWN,INE115A01026,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1038,,N,,
6758,1022,500253,LICHSGFIN,61095,11,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,43900,OWN,INE115A01026,A,644/20252026,9:15:01,1,3.8205E+15,9:15:01,1022,,N,,
6758,1022,500253,LICHSGFIN,61120,11,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,44300,OWN,INE115A01026,A,644/20252026,9:15:01,1,3.8205E+15,9:15:01,1022,,N,,
6758,1038,500253,LICHSGFIN,61145,11,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,44500,OWN,INE115A01026,A,644/20252026,9:15:01,1,3.8205E+15,9:15:01,1038,,N,,
6758,1027,543532,ETHOSLTD,279995,1,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,61000,OWN,INE04TZ01018,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1027,,N,,
6758,1037,543532,ETHOSLTD,280545,1,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,61200,OWN,INE04TZ01018,A,644/20252026,9:15:01,1,3.8205E+15,9:15:01,1037,,N,,
6758,1027,532648,YESBANK,2109,300,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,65900,OWN,INE528G01035,A,644/20252026,9:15:01,1,3.8205E+15,9:15:01,1027,,N,,
6758,1033,543687,DHARMAJ,27935,5,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,65900,OWN,INE00OQ01016,B,644/20252026,9:15:01,1,3.8205E+15,9:15:01,1033,,N,,
6758,1027,532648,YESBANK,2109,25,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,66100,OWN,INE528G01035,A,644/20252026,9:15:01,1,3.8205E+15,9:15:01,1027,,N,,
6758,1037,532648,YESBANK,2110,4,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,68000,OWN,INE528G01035,A,644/20252026,9:15:01,1,3.8205E+15,9:15:01,1037,,N,,
6758,1040,532648,YESBANK,2112,1,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,68200,OWN,INE528G01035,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1040,,N,,
